2021-09-10 14:33:01,941 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - the recieved command was: 125876.0892,125876.0892,125667.6694,125434.8039,125503.9442,125901.3991,125774.9512,125863.4381,125478.7935,125497.6556,125686.5882,125579.4568,125547.9822,125895.0707,125547.9822,125277.9491,125825.4999,125466.2219,125838.1435,125002.8331,125800.2205,125415.9606,126009.0795,125585.7536,126205.9116,125819.1791,125699.2039,125806.5394,125977.3897,126072.5068
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125876.0892
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125876.0892
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125667.6694
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125434.8039
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125503.9442
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125901.3991
2021-09-10 14:33:01,942 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125774.9512
2021-09-10 14:33:01,943 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125863.4381
2021-09-10 14:33:01,943 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125478.7935
2021-09-10 14:33:01,943 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125497.6556
2021-09-10 14:33:01,943 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125686.5882
2021-09-10 14:33:01,943 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125579.4568
2021-09-10 14:33:01,943 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125547.9822
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125895.0707
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125547.9822
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125277.9491
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125825.4999
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125466.2219
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125838.1435
